term_type,term_local_name,trig_file,trusty_uri,signed_at,published_at
class,ComputationalMethod,signed/signed.class_ComputationalMethod.trig,https://w3id.org/np/RAoLE72b_07tpy44hdGZXHlBZD_LSfKm4B8A470dFY9ks,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ComputationalPrediction,signed/signed.class_ComputationalPrediction.trig,https://w3id.org/np/RAgxILUIUyOv8t2GVfQIJr7H5i7IjHQl2LIBnSzA8jvuc,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ComputationalPredictionAgMata,signed/signed.class_ComputationalPredictionAgMata.trig,https://w3id.org/np/RA5GKclyhtYGQrtWyiv8WRPk1WZ6pCP1kIjF17zak3NOo,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ComputationalPredictionPLDDT,signed/signed.class_ComputationalPredictionPLDDT.trig,https://w3id.org/np/RA03AK0TlbzIdZxzKfUJgfLJ8vJNT-Lkyp3Zr9w6p5rA8,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ComputationalPredictionRMSD,signed/signed.class_ComputationalPredictionRMSD.trig,https://w3id.org/np/RAGlJbsekIzKgyh6xmMfKRpqRQeLBkneAWqhnpzXmdy-k,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ComputationalPredictionSASA,signed/signed.class_ComputationalPredictionSASA.trig,https://w3id.org/np/RAVLZNW5HY9Fv-D5v61yayy0zmJtC6WaEsY8Pow6kfKYI,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ExperimentalDMSObservation,signed/signed.class_ExperimentalDMSObservation.trig,https://w3id.org/np/RAn8ClDtx3v0i9p-EhsfQnZDiBDkzXlNq0_l5hsp_v5sM,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ExperimentalMethod,signed/signed.class_ExperimentalMethod.trig,https://w3id.org/np/RA8jA0y5lbCBJXMPo7TPT7fkMPkkYadfk8EpW7IjHx0Qg,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,ExperimentalObservation,signed/signed.class_ExperimentalObservation.trig,https://w3id.org/np/RA0c_t2cAXegzuLb56pIOa2xgoiRWOT_oz5btPyCJc7Tk,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,Method,signed/signed.class_Method.trig,https://w3id.org/np/RAe32RFyesO2SgZZ40ZfVYqV382qHV1Suvv4sBHDjQrOA,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
class,Observation,signed/signed.class_Observation.trig,https://w3id.org/np/RArXo9DjiKrScdd6A_NnbrL3kC0BzZEVBDp2idfcx6LTk,2026-05-26T14:32:27+0200,2026-05-26T12:43:22Z
