term_type,term_local_name,trig_file,trusty_uri_v2,superseded_trusty_uri_v1,signed_at,published_at
class,ComputationalMethod,v2/signed/signed.class_ComputationalMethod.trig,https://w3id.org/np/RAnxnqy2hDygtFwC0w7EtRCyh4mQtiCGIG31iS8QT8O5Q,https://w3id.org/np/RAoLE72b_07tpy44hdGZXHlBZD_LSfKm4B8A470dFY9ks,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ComputationalPrediction,v2/signed/signed.class_ComputationalPrediction.trig,https://w3id.org/np/RAKoHwHclGn7vPxzwP5MWvsYcetSDXXaRMBa8pikYm_-A,https://w3id.org/np/RAgxILUIUyOv8t2GVfQIJr7H5i7IjHQl2LIBnSzA8jvuc,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ComputationalPredictionAgMata,v2/signed/signed.class_ComputationalPredictionAgMata.trig,https://w3id.org/np/RAKKVsMYy26YhHVjTV2a9UVmm7TALoC8cIbkfuhQdccQs,https://w3id.org/np/RA5GKclyhtYGQrtWyiv8WRPk1WZ6pCP1kIjF17zak3NOo,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ComputationalPredictionPLDDT,v2/signed/signed.class_ComputationalPredictionPLDDT.trig,https://w3id.org/np/RA-PiBGB7iMOT16-M3gpGUajoKFi6kWSXfRy2hrvWp5Sk,https://w3id.org/np/RA03AK0TlbzIdZxzKfUJgfLJ8vJNT-Lkyp3Zr9w6p5rA8,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ComputationalPredictionRMSD,v2/signed/signed.class_ComputationalPredictionRMSD.trig,https://w3id.org/np/RAopqX_RYM3fl5sAzy2pEOWQb4Qp4szll01XzilsakLDQ,https://w3id.org/np/RAGlJbsekIzKgyh6xmMfKRpqRQeLBkneAWqhnpzXmdy-k,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ComputationalPredictionSASA,v2/signed/signed.class_ComputationalPredictionSASA.trig,https://w3id.org/np/RAP3Yiccarf5sBGkDPI0iiAwtrlCUOhfNSVEGQNgoRiR8,https://w3id.org/np/RAVLZNW5HY9Fv-D5v61yayy0zmJtC6WaEsY8Pow6kfKYI,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ExperimentalDMSObservation,v2/signed/signed.class_ExperimentalDMSObservation.trig,https://w3id.org/np/RA4W7BTjZqyFF7yHyNBPXKwqfoFFBlC1-OLYw-U6jy1S4,https://w3id.org/np/RAn8ClDtx3v0i9p-EhsfQnZDiBDkzXlNq0_l5hsp_v5sM,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ExperimentalMethod,v2/signed/signed.class_ExperimentalMethod.trig,https://w3id.org/np/RAZ6oFtmR_aeSfjBD634RS-VhRP1k__3u_tWgziHbW1JU,https://w3id.org/np/RA8jA0y5lbCBJXMPo7TPT7fkMPkkYadfk8EpW7IjHx0Qg,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ExperimentalObservation,v2/signed/signed.class_ExperimentalObservation.trig,https://w3id.org/np/RAfSBNcdUBXznN0NooBOgeDPIkogXRzZVFwzyPG8_QYgc,https://w3id.org/np/RA0c_t2cAXegzuLb56pIOa2xgoiRWOT_oz5btPyCJc7Tk,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,Method,v2/signed/signed.class_Method.trig,https://w3id.org/np/RAin3nSs_QMqqkVJXnW2Mpt0A8VjSQjctVeZwknZd31TA,https://w3id.org/np/RAe32RFyesO2SgZZ40ZfVYqV382qHV1Suvv4sBHDjQrOA,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,Observation,v2/signed/signed.class_Observation.trig,https://w3id.org/np/RAp5U-AAKn_oJZQM0bXcCHQX7KE4AseYLER3EBPCQVUCI,https://w3id.org/np/RArXo9DjiKrScdd6A_NnbrL3kC0BzZEVBDp2idfcx6LTk,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,ObservationalMethod,v2/signed/signed.class_ObservationalMethod.trig,https://w3id.org/np/RALrwDOAWiIPVr1uNQyNf43gRhcSkgFKDFm0jhn2pB0F8,https://w3id.org/np/RAKWylQl7TKAmgsAxTg8foINY7sb-UuTlVrkO2Fh80OR0,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,RealWorldOccurrence,v2/signed/signed.class_RealWorldOccurrence.trig,https://w3id.org/np/RA86GQCvCKP7tMt4cjZEroNkL4103kw1TlFH-nR_0trIM,https://w3id.org/np/RA8aL4inu9nEMEHPi_TL6bXztUQ8KuL0EzWgVmzJz81wU,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,SpikeRBDVariant,v2/signed/signed.class_SpikeRBDVariant.trig,https://w3id.org/np/RAG1yQSjgjX2cH7UA2fgm5UE5JMOgZ9XNx8GpdHVF5aww,https://w3id.org/np/RAa1Igfzz_27ZsbO3KyJ4BbHAyNeCntzKYAMaX29FlHio,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,VOC,v2/signed/signed.class_VOC.trig,https://w3id.org/np/RAYOlJ43EmeoJ8lLRjS9cv5pn1PKNy0udeS36KfWSRCPk,https://w3id.org/np/RAwegicYi8GP9FzkXe2FX8tsnkpLHVXU2qs8AiN_TFdKk,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,VOI,v2/signed/signed.class_VOI.trig,https://w3id.org/np/RAiwK1L9NkB_qPZpdFoaIGISRB7-kO3xB3J3m3z_AkXR4,https://w3id.org/np/RAtlygPoG8hpbGuqf0LURNUhEDaT9Ig296tcK0zOZ2zA0,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,VUM,v2/signed/signed.class_VUM.trig,https://w3id.org/np/RAwWafsvm-XuaeWXIfIkmY7-25TeGmLAxyb8baj0aUDGA,https://w3id.org/np/RAEJL5HutkymVXHZG4XFHFgEvvXwpnxA4X_ImxmZb4Ipc,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,WHODesignation,v2/signed/signed.class_WHODesignation.trig,https://w3id.org/np/RAmVAWWz3ixLjoBjdQFi25QOfZvz0X2ZCYuJ7lYeSvetA,https://w3id.org/np/RAMGLdbS4nddZ73LJScC21GJPy6v0utCiVTSEOz-aOgXY,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
class,WHOVariantClassification,v2/signed/signed.class_WHOVariantClassification.trig,https://w3id.org/np/RAKAogouhVXFZUSbqSZ_AUAIeUnz24jzGQ3u8FKRVf0Ks,https://w3id.org/np/RAdCY5sXJiO0jm2Qzbhzwi2DnIkFMkGos5QCSkw7cQ7dc,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
predicate,hasAgMataScore,v2/signed/signed.predicate_hasAgMataScore.trig,https://w3id.org/np/RAjh7ftctKKPxDfMh8hCDQPl6iP2s3a5e6Cr5nCrBJ4pA,https://w3id.org/np/RAP6SYPW_HEh3JPU0j8V7HLJHD8eaYFvFC1Ku751o7h0U,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
predicate,hasBind,v2/signed/signed.predicate_hasBind.trig,https://w3id.org/np/RAt9ZUC4T6urQ_tgkEEsg6vtZy7v9CD7WeGqeT9Zax3qY,https://w3id.org/np/RAYWCxvUQHsIET1cEEpTzNzWBlNzYCoXeDquym_Ix5UjU,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
predicate,hasClassificationDate,v2/signed/signed.predicate_hasClassificationDate.trig,https://w3id.org/np/RAtbKj58yNhJdAUthlTKf0iVzCAtN1w-U0rZxW7WvgXW4,https://w3id.org/np/RAwxoNJih1JFRlBm_ITsd4CCYgr_feqx4cy4zTh8D5MmI,2026-05-26T23:49:47+0200,2026-05-26T21:50:23Z
